,Jobtitle,Location,Salary,Company,Cities,USDSalary
24317,Senior Advisor for Intergovernmental Affairs,"Manhattan, NY",54643,New York City DEPT OF ENVIRONMENT PROTECTION,New+York,54643.0
24335,"Data Analyst for Emerging Medical Conditions, World Trade Ce...","Manhattan, NY",73305,New York City DEPT OF HEALTH/MENTAL HYGIENE,New+York,73305.0
24342,Policy Advisor,"Manhattan, NY",70286,New York City DEPT OF ENVIRONMENT PROTECTION,New+York,70286.0
24354,Program Analytics /Data Analysis Manager,"Bronx, NY",50000,The Osborne Association,New+York,50000.0
24359,Senior Data Scientist,"New York, NY",160000,Harnham US,New+York,160000.0
24395,"Special Assistant, Office of the Commissioner","Queens, NY",73305,New York City DEPT OF HEALTH/MENTAL HYGIENE,New+York,73305.0
24398,Postdoctoral Associate (R18-05),"Albany, NY",38000,Research Foundation for SUNY,New+York,38000.0
24413,POLICY and OPERSTIONS RESEARCH | ANALYST,"Manhattan, NY",58162,New York City OFFICE OF MANAGEMENT & BUDGET,New+York,58162.0
24450,Energy Program Analyst,"Queens, NY",59708,New York City DEPT OF ENVIRONMENT PROTECTION,New+York,59708.0
24456,"Data Integrity Analyst, Bureau of Mental Health/MH-Assisted...","Queens, NY",70286,New York City DEPT OF HEALTH/MENTAL HYGIENE,New+York,70286.0
24458,Bilingual (English/Spanish) Research Analyst,"New York, NY 10020 (Midtown area)",75000,Sumitomo Mitsui Trust Bank,New+York,75000.0
24473,Senior Analyst,"Manhattan, NY",70286,NYC Administration for Children's Services,New+York,70286.0
24488,GIS Analyst,"Queens, NY",59708,New York City DEPT OF ENVIRONMENT PROTECTION,New+York,59708.0
24497,Data Science & Advanced Analytics Senior Associate,"New York, NY",109000,New York Life Insurance Co,New+York,109000.0
24530,Energy Policy Advisor,"Manhattan, NY",62272,New York City DEPT OF ENVIRONMENT PROTECTION,New+York,62272.0
24561,Environmental Compliance Specialist,"Manhattan, NY",70286,New York City DEPARTMENT OF TRANSPORTATION,New+York,70286.0
24587,INSTRUCTIONAL SUPPORT SPECIALIST,"Brooklyn, NY",69000,SUNY Downstate Medical Center,New+York,69000.0
24590,"Research Scientist, Bureau of Environmental Sciences and Eng...","Queens, NY",78630,New York City DEPT OF HEALTH/MENTAL HYGIENE,New+York,78630.0
24632,Flatiron School- Lead Data Science Instructor,"New York, NY 10004 (Financial District area)",118000,WeWork,New+York,118000.0
24634,"Core Data Science, PhD University Grad","New York, NY",113000,Facebook,New+York,113000.0
24635,Mid-Level Data Engineer at Machine Learning/AI Company,"New York, NY",100000,Jobspring Partners,New+York,100000.0
24638,Director of Research,"New York, NY",91455,New York City HOUSING PRESERVATION & DVLPMNT,New+York,91455.0
24641,Senior Analyst,"Manhattan, NY",70286,New York City ADMIN FOR CHILDREN'S SVCS,New+York,70286.0
24648,"Surveillance Informatics Coordinator, Bureau of Sexually Tra...","Queens, NY",73305,New York City DEPT OF HEALTH/MENTAL HYGIENE,New+York,73305.0
24654,Director of Data Analytics,"Queens, NY",60435,New York City DEPT OF DESIGN & CONSTRUCTION,New+York,60435.0
24665,Postdoctoral Research Scientist in Biomedical Data Science,"New York, NY",48000,Research Foundation of The City University of New...,New+York,48000.0
24677,"Surveillance Analyst, Bureau of Communicable Diseases","Queens, NY",70286,New York City DEPT OF HEALTH/MENTAL HYGIENE,New+York,70286.0
24681,"Interoperability Specialist, Bureau of Immunization","Queens, NY",70286,New York City DEPT OF HEALTH/MENTAL HYGIENE,New+York,70286.0
24700,"Monitoring and Evaluation Analyst for ThriveNYC, Bureau of E...","Queens, NY",78630,New York City DEPT OF HEALTH/MENTAL HYGIENE,New+York,78630.0
24715,"Data Linkage Research Manager, Bureau of Epidemiology Servic...","Queens, NY",78630,New York City DEPT OF HEALTH/MENTAL HYGIENE,New+York,78630.0
24716,POLICY AND OPERATIONS RESEARCH | ANALYST,"Manhattan, NY",58162,New York City OFFICE OF MANAGEMENT & BUDGET,New+York,58162.0
24740,"EtE Evaluation Specialist, Bureau of HIV/AIDS Prevention and...","Queens, NY",62272,New York City DEPT OF HEALTH/MENTAL HYGIENE,New+York,62272.0
24771,"Adolescent Coordinator, Bureau of Immunization","Queens, NY",70286,New York City DEPT OF HEALTH/MENTAL HYGIENE,New+York,70286.0
24781,"Technical Assistance Specialist, Bureau of Alcohol and Drug...","Queens, NY",59708,New York City DEPT OF HEALTH/MENTAL HYGIENE,New+York,59708.0
24793,"Program Systems Coordinator, Bureau of HIV/AIDS Prevention a...","Queens, NY",82008,New York City DEPT OF HEALTH/MENTAL HYGIENE,New+York,82008.0
24803,"CRBN Specialist, Environmental Health Administration","Manhattan, NY",73305,New York City DEPT OF HEALTH/MENTAL HYGIENE,New+York,73305.0
24826,"Policy Advisor, Building Energy Efficiency Programs","Manhattan, NY",59708,New York City DEPT OF ENVIRONMENT PROTECTION,New+York,59708.0
24828,"Provider and Jurisdictional Liaison, Bureau of HIV/AIDS Prev...","Queens, NY",53857,New York City DEPT OF HEALTH/MENTAL HYGIENE,New+York,53857.0
24838,Client Support Services Manager,"New York, NY",90000,The City University of New York (CUNY),New+York,90000.0
24873,"Operations Analyst, Relay, Bureau of Alcohol and Drug Use Pr...","Queens, NY",59708,New York City DEPT OF HEALTH/MENTAL HYGIENE,New+York,59708.0
24892,Senior Research Analyst – Access and Success,"New York, NY",72000,Research Foundation of The City University of New...,New+York,72000.0
24894,"Evaluation Coordinator, New York City Teens Connection, Bron...","Bronx, NY",59708,New York City DEPT OF HEALTH/MENTAL HYGIENE,New+York,59708.0
24910,"Deputy Chief, Industrial Pollution Prevention Unit","Manhattan, NY",61324,New York City DEPT OF ENVIRONMENT PROTECTION,New+York,61324.0
24937,"Senior Program Evaluator, Brooklyn Neighborhood Health Actio...","Brooklyn, NY",78630,New York City DEPT OF HEALTH/MENTAL HYGIENE,New+York,78630.0
24953,"Chief of Mycobacteriology, Bureau of the Public Health Labor...","Manhattan, NY",90084,New York City DEPT OF HEALTH/MENTAL HYGIENE,New+York,90084.0
24954,"Senior Advisor, Connections to Care, Bureau of Systems Stren...","Queens, NY",70286,New York City DEPT OF HEALTH/MENTAL HYGIENE,New+York,70286.0
24956,"Director of Collaboration & Outreach, Disease Control","Queens, NY",78630,New York City DEPT OF HEALTH/MENTAL HYGIENE,New+York,78630.0
24968,"Senior Director, Office of Learning and Improvement","Queens, NY",87768,New York City DEPT OF HEALTH/MENTAL HYGIENE,New+York,87768.0
24970,"Field Research Associate, Bureau of Alcohol and Drug Use Pre...","Queens, NY",59708,New York City DEPT OF HEALTH/MENTAL HYGIENE,New+York,59708.0
24973,"Influenza Surveillance Coordinator, Bureau of Communicable D...","Queens, NY",87768,New York City DEPT OF HEALTH/MENTAL HYGIENE,New+York,87768.0
25161,SWE - Intern - Engineer,"Malta, NY",76000,GLOBALFOUNDRIES,New+York,76000.0
25165,UX/Product Writer,"New York, NY",81000,The New York Times,New+York,81000.0
25905,Data Scientist & Engineer,"New York, NY",109000,Payette Group,New+York,109000.0
27016,Student Intern,"San Jose, CA",26063,US Department of Commerce,"San Jose, CA",26063.0
27020,NLP Data Scientist,"Palo Alto, CA 94304",99000,"PARC, a Xerox company","San Jose, CA",99000.0
27021,Data Scientist,"San Jose, CA 95124 (Cambrian Park area)",139000,Xilinx,"San Jose, CA",139000.0
27023,Movidius Deep Learning Data Scientist,"Santa Clara, CA 95054",116000,Intel,"San Jose, CA",116000.0
27024,HEOR Data Scientist – Project Management,"Sunnyvale, CA",95000,Intuitive Surgical,"San Jose, CA",95000.0
27025,Data Scientist,"Redwood City, CA",108000,BlueVine,"San Jose, CA",108000.0
27026,Data Scientist,"San Jose, CA 95110 (Downtown area)",116000,Nutanix,"San Jose, CA",116000.0
27027,"Data Scientist, Blockchain","Menlo Park, CA",132000,Facebook,"San Jose, CA",132000.0
27028,Data Scientist,"San Jose, CA",112000,Sage Intacct,"San Jose, CA",112000.0
27029,"Auction and Delivery Data Scientist, Marketing Science - Uni...","Menlo Park, CA",98000,Facebook,"San Jose, CA",98000.0
27062,Data Scientist,"Cupertino, CA",175000,Workbridge Associates,"San Jose, CA",175000.0
27112,Data Scientist,"Palo Alto, CA",118000,Nauto,"San Jose, CA",118000.0
27116,Geospatial Data Scientist - Space System,"Mountain View, CA",110000,Riverside Research,"San Jose, CA",110000.0
27117,Data Scientist,"San Jose, CA",128000,Connexions Data Inc,"San Jose, CA",128000.0
27119,Principal Data Scientist,"Mountain View, CA",160000,Workbridge Associates,"San Jose, CA",160000.0
27239,Senior Data Scientist,"San Jose, CA 95113 (Downtown area)",200000,Workbridge Associates,"San Jose, CA",200000.0
27240,Intern Mechanical Engineer,"San Jose, CA 95134 (North San Jose area)",48000,Thermo Fisher Scientific,"San Jose, CA",48000.0
27243,"Data Scientist, Analytics - Product Quality","Menlo Park, CA",122000,Facebook,"San Jose, CA",122000.0
27244,"Data Scientist, Analytics - Product Navigation","Menlo Park, CA",118000,Facebook,"San Jose, CA",118000.0
27248,Data Scientist III,"Scotts Valley, CA",76000,Central California Alliance for Health,"San Jose, CA",76000.0
27256,RESEARCH ANALYST II,"San Jose, CA 95113 (Downtown area)",73315,San Jose/Evergreen Community College District,"San Jose, CA",73315.0
27259,Principal Data Scientist,"Palo Alto, CA",180000,Harnham US,"San Jose, CA",180000.0
27262,Senior Machine Learning Data Scientist,"Mountain View, CA",160000,Jobspring Partners,"San Jose, CA",160000.0
27383,Staff Data Scientist,"Pleasanton, CA",170000,Workbridge Associates,"San Jose, CA",170000.0
27450,"Physical Science Technician, GS-1311-09/11 (DEU-YMJ)","Menlo Park, CA",61084,US Department of the Interior,"San Jose, CA",61084.0
27545,Research Scientist - Security,"Mountain View, CA",160000,Jobspring Partners,"San Jose, CA",160000.0
27697,Director of Security,"Mountain View, CA",200000,Jobspring Partners,"San Jose, CA",200000.0
27773,Scientist/Senior Scientist – Protein Engineering,"Menlo Park, CA",92000,3T Biosciences,"San Jose, CA",92000.0
27874,"Postdoctoral Research Scientist, Cyber-Physical Systems Secu...","Palo Alto, CA 94304",70000,"PARC, a Xerox company","San Jose, CA",70000.0
28160,Software Engineer - Front End,"Sunnyvale, CA",90000,Walmart Stores,"San Jose, CA",90000.0
28161,"Senior Manager, Software Engineering & Data Science","Sunnyvale, CA",127000,Walmart Stores,"San Jose, CA",127000.0
28166,Expert Software Engineer,"Sunnyvale, CA",93000,Walmart eCommerce,"San Jose, CA",93000.0
28167,"Staff Software Engineer, Mobile","Sunnyvale, CA",112000,Walmart Stores,"San Jose, CA",112000.0
28168,Staff Software Engineer - VUDU,"Sunnyvale, CA",96000,Walmart Stores,"San Jose, CA",96000.0
28169,Manufacturing Engineer Operations,"Hayward, CA",75000,Proteus Digital Health,"San Jose, CA",75000.0
28403,Front End Developer,"Sunnyvale, CA",80000,Oath Inc,"San Jose, CA",80000.0
28407,NVIDIA GPU Cloud Infrastructure – Server Engineer,"Santa Clara, CA",111000,NVIDIA,"San Jose, CA",111000.0
28408,MTS 2 - Software Engineer,"San Jose, CA",117000,Paypal,"San Jose, CA",117000.0
28409,"Manager of Data Science, Consumer Analytics","Santa Clara, CA 95054",102000,Chegg,"San Jose, CA",102000.0
29971,Data Scientist,"Washington, DC",67968,Central Intelligence Agency,"Washington, DC",67968.0
29973,Data Scientist - Entry to Experienced Level,"Fort Meade, MD",96970,National Security Agency,"Washington, DC",96970.0
29976,OSSE: Data Analysis Manager,"Washington, DC",104702,Government of the District of Columbia,"Washington, DC",104702.0
29977,Data Scientist,"Washington, DC",67968,U.S. Federal Government,"Washington, DC",67968.0
29979,Data Scientist,"McLean, VA 22102",60000,Piper Companies,"Washington, DC",60000.0
29988,Post-Doctoral Scientist,"Foggy Bottom, DC",51238,George Washington University,"Washington, DC",51238.0
29989,Supervisory Health Scientist,"Hyattsville, MD",134789,CDC,"Washington, DC",134789.0
30000,Computer Scientist (Informatics),"Hyattsville, MD",76015,CDC,"Washington, DC",76015.0
30012,"Physical Scientist, AST, Earth Sciences Remote Sensing","Washington, DC",114590,US National Aeronautics and Space Administration,"Washington, DC",114590.0
30028,Postdoctoral Scientist,"Foggy Bottom, DC",51238,George Washington University,"Washington, DC",51238.0
30083,Data Scientist,"Bethesda, MD",120000,Jobspring Partners,"Washington, DC",120000.0
30090,University - Data Scientist Consultant,"Washington, DC",98000,Booz Allen Hamilton,"Washington, DC",98000.0
30094,Data Scientist,"Washington, DC",92000,Cerebri AI,"Washington, DC",92000.0
30095,Operations Research Analyst/Data Scientist Manager,"Washington, DC",105000,Booz Allen Hamilton,"Washington, DC",105000.0
30097,Behavioral Scientist (Program Director),"Alexandria, VA",139282,U.S. Federal Government,"Washington, DC",139282.0
30099,Data Scientist / Sr. Data Scientist,"Washington, DC",94000,Visa,"Washington, DC",94000.0
30113,Applied Social Scientist - Experienced Level,"Fort Meade, MD",96970,National Security Agency,"Washington, DC",96970.0
30121,"Research Space Scientist, AST, Planetary Studies","Greenbelt, MD",114590,US National Aeronautics and Space Administration,"Washington, DC",114590.0
30136,"Physical Scientist, ZP-1301-III/IV","Gaithersburg, MD",68036,US Department of Commerce,"Washington, DC",68036.0
30140,Cryptanalytic Computer Scientist - Entry/Mid-Level,"Fort Meade, MD",69545,National Security Agency,"Washington, DC",69545.0
30159,Biologist/Toxicologist,"Washington, DC",81548,U.S. Federal Government,"Washington, DC",81548.0
30174,"Research Scientist, Reproductive Health & Family Formation","Bethesda, MD 20814",80500,Child Trends,"Washington, DC",80500.0
30201,Research Analyst - RHFF,"Bethesda, MD 20814",54500,Child Trends,"Washington, DC",54500.0
30215,"Physical Scientist, AST, Science Program Management","Washington, DC",114590,US National Aeronautics and Space Administration,"Washington, DC",114590.0
30239,"Lead Physical Scientist, GS-1301-14 (DE/CR)","Silver Spring, MD",114590,US Department of Commerce,"Washington, DC",114590.0
30250,Senior Data Scientist: Product Owner,"Washington, DC",120000,Jobspring Partners,"Washington, DC",120000.0
30257,Social Science Research Analyst,"Bethesda, MD",96970,US Department of Health And Human Services,"Washington, DC",96970.0
30263,Mathematician - Entry/Mid-Level,"Fort Meade, MD",69545,National Security Agency,"Washington, DC",69545.0
30272,General Engineer,"Washington, DC 20004 (Downtown area)",134789,US Department of Energy,"Washington, DC",134789.0
30296,Microbiologist,"Beltsville, MD",56223,US Department of Agriculture,"Washington, DC",56223.0
30314,Data Scientist - TS/SCI Required,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",79000,Deloitte,"Washington, DC",79000.0
30319,Data Scientist - Sr.,"Reston, VA",103000,Radiant Solutions,"Washington, DC",103000.0
30413,Sr. GIS Administrator,"Silver Spring, MD 20904",70000,Zachary Piper Solutions,"Washington, DC",70000.0
30424,Operations Research Analyst,"Fort Meade, MD",81548,US Department of Defense,"Washington, DC",81548.0
30430,Mathematical Statistician - Entry/Mid-Level,"Fort Meade, MD",69545,National Security Agency,"Washington, DC",69545.0
30450,"Research Data Scientist, Senior","Alexandria, VA",117000,Booz Allen Hamilton,"Washington, DC",117000.0
30451,Systems Analyst / Data Scientist,"Laurel, MD 20708",87000,Johns Hopkins Applied Physics Laboratory (APL),"Washington, DC",87000.0
30452,Data Scientist - Secret Clearance Required,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",77000,Deloitte,"Washington, DC",77000.0
30458,Computer Systems Researcher - Entry to Experienced Level,"Fort Meade, MD",69545,National Security Agency,"Washington, DC",69545.0
30481,Physical Science Administrator (Program Director),"Alexandria, VA",139282,U.S. Federal Government,"Washington, DC",139282.0
30509,Interdisciplinary Engineer,"Silver Spring, MD",57015,US Department of Health And Human Services,"Washington, DC",57015.0
30522,"Data Scientist/Software Engineer - Arlington, VA","Arlington, VA 22203 (Bluemont area)",98000,Systems & Technology Research,"Washington, DC",98000.0
30524,Data Scientist (Journeyman),"Springfield, VA",83000,Obsidian Solutions Group,"Washington, DC",83000.0
30535,"Director, Earth Science Division","Washington, DC",126148,US National Aeronautics and Space Administration,"Washington, DC",126148.0
30631,Senior Product Manager,"Washington, DC",89000,Optoro,"Washington, DC",89000.0
30634,Data Scientist- Journeyman,"Springfield, VA",91000,"Syntelligent Analytic Solutions, LLC","Washington, DC",91000.0
30733,"Data Science Database Analyst, Mid","Alexandria, VA",94000,Booz Allen Hamilton,"Washington, DC",94000.0
30734,"Software Engineer, Data Operations (Survey)","Reston, VA",81000,Resonate,"Washington, DC",81000.0
30772,Apps Developer,"Washington, DC",67968,Central Intelligence Agency,"Washington, DC",67968.0
30778,Senior Product Owner - Data Science Product,"Washington, DC",150000,Jobspring Partners,"Washington, DC",150000.0
30878,Supervisory Research Plant Physiologist/Molecular Biologist...,"Beltsville, MD",114590,US Department of Agriculture,"Washington, DC",114590.0
30884,Secret Cleared Sr. GIS Analyst,"Silver Spring, MD 20904",70000,Zachary Piper Solutions,"Washington, DC",70000.0
30954,Aviation Systems Analyst,"McLean, VA",73000,Mitre Corporation,"Washington, DC",73000.0
30955,Civil Environmental Engineer,"Washington, DC",78000,"PEER Consultants, P.C.","Washington, DC",78000.0
30957,Clinical Research Program Analyst - Finance,"Silver Spring, MD",78000,General Dynamics Information Technology,"Washington, DC",78000.0
30959,Information Technology Scientist,"Chantilly, VA 20151",78000,ManTech International Corporation,"Washington, DC",78000.0
31106,Systems Engineer,"Herndon, VA",85000,Novetta,"Washington, DC",85000.0
31107,Data Scientist: Anomaly Detection - FS Poly,"Fort Meade, MD",123000,stanleyreid,"Washington, DC",123000.0
31108,Data Scientist: NLP - FS Poly,"Fort Meade, MD",123000,stanleyreid,"Washington, DC",123000.0
31114,Operations Research Systems Analyst,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",69000,"Quantum Research International, Inc.","Washington, DC",69000.0
31116,Data Scientist SME,"McLean, VA",94000,"SkyePoint Decisions, Inc.","Washington, DC",94000.0
32709,Backend Developer,"College Park, MD",96000,Dynamo Technologies,"Washington, DC",96000.0
33010,"Manager, Data Scientist","Austin, TX 73301 (St Edwards area)",112000,KPMG,Austin,112000.0
33017,"Data Scientist, Lead","Austin, TX",93000,Booz Allen Hamilton,Austin,93000.0
33192,Certifying Scientist / Method Development,"Austin, TX",65000,Lighthouse Lab Services,Austin,65000.0
33196,Senior Scientist ( Product ),"Austin, TX",100000,Valkyrie Intelligence,Austin,100000.0
33254,Senior Machine Learning/Computer Vision Software Engineer,"Austin, TX",125000,HireNetworks,Austin,125000.0
33316,Full Stack Software Engineer,"Austin, TX 78731",96000,Indeed,Austin,96000.0
33319,Software Engineer,"Austin, TX",110000,JASON INCORPORATED,Austin,110000.0
33321,Senior Server Software Engineer - Machine Vision,"Austin, TX 78759 (Arboretum area)",110000,SparkCognition,Austin,110000.0
33322,Senior Software Engineer - Financial Services,"Austin, TX 78759 (Arboretum area)",115000,SparkCognition,Austin,115000.0
35998,Staff Biostatistician 1 (Research Associate),"Portland, OR",60000,Oregon Health & Science University,Portland,60000.0
36023,Senior Research Assistant,"Portland, OR",35034,Oregon Health & Science University,Portland,35034.0
36094,Business Analyst,"Portland, OR 97204 (Downtown area)",57000,Sitka Technology Group,Portland,57000.0
36125,Senior Software Developer,"Portland, OR 97209 (Pearl District area)",120000,"NauWork, LLC",Portland,120000.0
36126,Senior Software Engineer,"Portland, OR 97209 (Pearl District area)",135000,"NauWork, LLC",Portland,135000.0
36299,"Software Engineer, Full Stack (Portland)","Portland, OR",96000,Airbnb,Portland,96000.0
38956,Research & Data Analyst (Long Term Temporary),"Tukwila, WA",55000,King County Housing Authority,Seattle,55000.0
38998,CONTRACT - Data Scientist (NTD),"Redmond, WA",84000,Nintendo of America Inc.,Seattle,84000.0
39000,Data Scientist - Verticals,"Seattle, WA 98101 (Downtown area)",109000,Uber,Seattle,109000.0
39003,Fish Production Scientist I,"Auburn, WA",56742,Muckleshoot Indian Tribe,Seattle,56742.0
39005,Intern Data Scientist,"Seattle, WA",100000,"ExtraHop Networks, Inc.",Seattle,100000.0
39006,"Data Scientist, Marketing Science R&D","Seattle, WA",104000,Facebook,Seattle,104000.0
39065,Quantitative Fisheries Scientist,"Auburn, WA",72552,Muckleshoot Indian Tribe,Seattle,72552.0
39069,Lead Fisheries Habitat Scientist,"Auburn, WA",92764,Muckleshoot Indian Tribe,Seattle,92764.0
39112,"Senior Data Scientist, Pricing Sophistication - Product Desi...","Seattle, WA",92000,Liberty Mutual,Seattle,92000.0
39118,Head Data Scientist,"Seattle, WA",200000,All-In Analytics,Seattle,200000.0
39123,"Senior Data Scientist, Product Design & Modeling - Global Re...","Seattle, WA",102500,Liberty Mutual,Seattle,102500.0
39135,"Senior Bioinformatician, Data Sciences","Seattle, WA",90000,"PreCyte, Inc.",Seattle,90000.0
39156,Lead Data Scientist,"Seattle, WA",170000,All-In Analytics,Seattle,170000.0
39223,"Research Technician I, Evolution of Antiviral Defenses","Seattle, WA 98109 (Westlake area)",32000,Fred Hutchinson Cancer Research Center,Seattle,32000.0
39226,Machine Repair Mechanic A,"Everett, WA 98204 (Holly area)",40000,BOEING,Seattle,40000.0
39231,Data Scientist,"Seattle, WA",114000,Ross-Carlisle Group,Seattle,114000.0
39298,"Director, Data Scientist, NLP","Seattle, WA 98101 (Downtown area)",83000,KPMG,Seattle,83000.0
39309,"Business Analyst II or Senior Business Analyst, Business Lin...","Seattle, WA",74800,Liberty Mutual,Seattle,74800.0
39415,Software Development Engineer- Data Science,"Seattle, WA 98101 (Downtown area)",100000,Zillow Group,Seattle,100000.0
39439,Regional Wetland Specialist (Environmental Specialist 4),"Bellevue, WA",52536,State of Washington Dept. of Ecology,Seattle,52536.0
39566,"DIVISION TECHNICAL DIRECTOR, NAVAL UNDERSEA WARFARE CENTER D...","Keyport, WA",126148,US Department of the Navy,Seattle,126148.0
39618,"Backend Engineer, GrabExpress","Bellevue, WA",108000,Grab Taxi,Seattle,108000.0
39619,Zillow Offers - Software Development Engineer,"Seattle, WA 98101 (Downtown area)",116000,Zillow Group,Seattle,116000.0
39621,"Software Development Engineer, Bioinformatics","Seattle, WA 98109 (Westlake area)",85000,Fred Hutchinson Cancer Research Center,Seattle,85000.0
39624,"Software Development Engineer, Developer Infrastructure","Seattle, WA 98101 (Downtown area)",103000,Zillow Group,Seattle,103000.0
39627,Software Engineer II - Machine Learning,"Redmond, WA",85000,Microsoft,Seattle,85000.0
39638,Staff Software Engineer,"Tacoma, WA",97000,Infoblox,Seattle,97000.0
39773,Data Scientist / Statistician,"Seattle, WA 98103 (Green Lake - Wallingford area)",85000,Kids on 45th,Seattle,85000.0
39783,Machine Learning/Data Scientist,"Seattle, WA",200000,Gradient.io,Seattle,200000.0
39788,Quantitative Trading Community Support,"Seattle, WA",45000,QuantConnect,Seattle,45000.0
39806,018 Data / ETL Engineer II,"Seattle, WA",105000,Dataspace,Seattle,105000.0
39812,Senior Computational Linguist,"Seattle, WA",180000,R2 Global AI,Seattle,180000.0
39832,Biostatistician,"Seattle, WA 98121 (Belltown area)",80000,Axio Research LLC,Seattle,80000.0
39849,SQL Developer/BI/Data engieer - Cosmos/ Scope,"Redmond, WA",79000,HCL Technologies,Seattle,79000.0
39851,Accountant,"Seattle, WA 98121 (Belltown area)",43000,Sage Bionetworks,Seattle,43000.0
39853,Data Scientist needed in Seattle - Up to $230K DOE,"Seattle, WA",114000,Career Movement,Seattle,114000.0
39868,Talent Advisor (Recruiter),"Seattle, WA",85000,TalentReach,Seattle,85000.0
39869,"Ecommerce Account Manager, Amazon.com Accounts","Bellevue, WA 98007 (Lake Hills area)",50000,Philip J. Boren Inc.,Seattle,50000.0
39901,Statistical Learning Programmer (Statistical Genetics),"Seattle, WA 98121 (Belltown area)",60000,Axio Research LLC,Seattle,60000.0
39919,UI/UX Developer,"Redmond, WA",115000,BiSoft,Seattle,115000.0
39923,Sr. Statistical Programmer,"Seattle, WA 98121 (Belltown area)",80000,Axio Research LLC,Seattle,80000.0
39979,Senior Backend Engineer - Distributed Systems,"Seattle, WA",180000,Gradient.io,Seattle,180000.0
40308,Sr. Product Manager - R184255-1,"Bellevue, WA",84000,Collaborative Vision LLC,Seattle,84000.0
40309,Systems Engineer-Bioinformatics,"Seattle, WA 98121 (Belltown area)",103000,Sage Bionetworks,Seattle,103000.0
40310,Front End Software Engineer,"Seattle, WA",100000,Indeed,Seattle,100000.0
40313,Back End Software Engineer,"Seattle, WA",100000,Indeed,Seattle,100000.0
40314,Senior Software Engineer,"Seattle, WA",103000,Invitae,Seattle,103000.0
40316,Senior Software Engineer - Data Science Infrastructure,"Seattle, WA",118000,Sift Science,Seattle,118000.0
41976,Data Scientist (IoT),"Chicago, IL",125000,Jobspring Partners,Chicago,125000.0
42025,"Senior Level Data Scientist (NLP, Deep Learning)","Chicago, IL",110000,Workbridge Associates,Chicago,110000.0
42098,"Manager, Data Scientist, NLP","Chicago, IL 60290 (Loop area)",76000,KPMG,Chicago,76000.0
42099,Manager - Cognitive Data Scientist Natural Language Processi...,"Chicago, IL 60290 (Loop area)",90000,KPMG,Chicago,90000.0
42105,Data Scientist,"Chicago, IL",115000,Solving IT,Chicago,115000.0
42107,Data Scientist,"Chicago, IL",88000,Klein Hersh International,Chicago,88000.0
42119,"Senior Data Scientist (Deep Learning, NLP, Computer Vision)","Chicago, IL",110000,Workbridge Associates,Chicago,110000.0
42120,Machine Learning - Feature Engineer - GPShopper (L09),"Chicago, IL",52000,Synchrony,Chicago,52000.0
42186,Data Engineer (Downtown),"Chicago, IL",100000,Jobspring Partners,Chicago,100000.0
42200,Experienced Data Engineer (Health tech),"Chicago, IL",95000,Jobspring Partners,Chicago,95000.0
42229,Data Science Manager,"Chicago, IL 60603 (Loop area)",104000,The Marketing Store,Chicago,104000.0
42268,Postdoctoral Researcher,"Lemont, IL",43000,Argonne National Laboratory,Chicago,43000.0
42272,Business Intelligence Developer-Healthcare,"Downers Grove, IL 60515",63000,Dupage Medical Group,Chicago,63000.0
42298,Senior Data Engineer (Health-tech),"Chicago, IL",115000,Jobspring Partners,Chicago,115000.0
42337,Machine Learning Engineer,"Chicago, IL",80000,Jobspring Partners,Chicago,80000.0
42361,Lead Business Analyst,"Chicago, IL",100000,Jobspring Partners,Chicago,100000.0
42424,"Mid to Senior Data Engineer (Healthcare, Insurance, Finance)","Chicago, IL",90000,Jobspring Partners,Chicago,90000.0
42473,Research Analyst,"Chicago, IL",50000,Illinois Criminal Justice Information Authority,Chicago,50000.0
42477,Quantitative Analyst - Marketing,"Chicago, IL",50000,Bartesian,Chicago,50000.0
42497,Organic Scientist,"Chicago, IL",80000,Germer International,Chicago,80000.0
42501,Beverage Technician,"Niles, IL 60714",40000,Imbibe,Chicago,40000.0
42502,Data Scientist,"Chicago, IL 60603 (Loop area)",120000,Porcaro Stolarek Mete Partners LLC,Chicago,120000.0
42518,Customer Success Engineer | Data Science Software,"Chicago, IL",82000,Displayr,Chicago,82000.0
42521,Data Support Analyst - Entry-Level - Technology Startup,"Chicago, IL",38000,Enterprise Peak,Chicago,38000.0
42522,Data Science Engineer - Machine Learning,"Chicago, IL 60290 (Loop area)",95000,H5,Chicago,95000.0
42523,Data Scientist - Marketing Performance,"Chicago, IL",85000,Northpointe Staffing,Chicago,85000.0
42540,Statistical Modeler,"Chicago, IL",90000,Smith Hanley Associates,Chicago,90000.0
42547,UI/UX Product Designer,"Chicago, IL",60000,Twine,Chicago,60000.0
42554,Lead Data Science Instructor,"Chicago, IL",93000,General Assembly,Chicago,93000.0
42556,Software Developer - Parallel Works,"Chicago, IL",97000,1871,Chicago,97000.0
42557,Data Analytics Manager,"Chicago, IL 60603 (Loop area)",150000,Porcaro Stolarek Mete Partners LLC,Chicago,150000.0
42564,Senior Statistical Analyst,"Chicago, IL",85000,Smith Hanley Associates,Chicago,85000.0
42582,Senior DBA,"Chicago, IL",90000,CultureFit,Chicago,90000.0
